Year,Month,Country,SriLanka_Arrivals,Estimated_Sigiriya_Visitors,Visitor_Category
2016,Jan,India,48272,26549,High
2016,Jan,United Kingdom,19308,10619,High
2016,Jan,Russia,17378,9557,High
2016,Jan,Germany,15447,8495,High
2016,Jan,China,13516,7433,High
2016,Jan,France,11585,6371,High
2016,Jan,Australia,9654,5309,Moderate
2016,Jan,United States,9654,5309,Moderate
2016,Jan,Netherlands,7723,4247,Moderate
2016,Jan,Italy,7723,4247,Moderate
2016,Jan,Spain,3861,2123,Moderate
2016,Jan,Poland,3861,2123,Moderate
2016,Jan,Japan,1930,1061,Moderate
2016,Jan,South Korea,1930,1061,Moderate
2016,Jan,UAE,1930,1061,Moderate
2016,Jan,Saudi Arabia,1930,1061,Moderate
2016,Jan,Qatar,1930,1061,Moderate
2016,Jan,Other,25101,13805,High
2016,Feb,India,46341,25487,High
2016,Feb,United Kingdom,18536,10195,High
2016,Feb,Russia,16682,9175,High
2016,Feb,Germany,14829,8156,High
2016,Feb,China,12975,7136,High
2016,Feb,France,11121,6117,High
2016,Feb,Australia,9268,5097,Moderate
2016,Feb,United States,9268,5097,Moderate
2016,Feb,Netherlands,7414,4078,Moderate
2016,Feb,Italy,7414,4078,Moderate
2016,Feb,Spain,3707,2039,Moderate
2016,Feb,Poland,3707,2039,Moderate
2016,Feb,Japan,1853,1019,Moderate
2016,Feb,South Korea,1853,1019,Moderate
2016,Feb,UAE,1853,1019,Moderate
2016,Feb,Saudi Arabia,1853,1019,Moderate
2016,Feb,Qatar,1853,1019,Moderate
2016,Feb,Other,24097,13253,High
2016,Mar,India,44410,24425,High
2016,Mar,United Kingdom,17764,9770,High
2016,Mar,Russia,15987,8793,High
2016,Mar,Germany,14211,7816,High
2016,Mar,China,12434,6839,High
2016,Mar,France,10658,5862,High
2016,Mar,Australia,8882,4885,Moderate
2016,Mar,United States,8882,4885,Moderate
2016,Mar,Netherlands,7105,3908,Moderate
2016,Mar,Italy,7105,3908,Moderate
2016,Mar,Spain,3552,1954,Moderate
2016,Mar,Poland,3552,1954,Moderate
2016,Mar,Japan,1776,977,Moderate
2016,Mar,South Korea,1776,977,Moderate
2016,Mar,UAE,1776,977,Moderate
2016,Mar,Saudi Arabia,1776,977,Moderate
2016,Mar,Qatar,1776,977,Moderate
