Date,Forecast_Visitor_Count
2025-12-21,4049
2025-12-22,3510
2025-12-23,3447
2025-12-24,3472
2025-12-25,3297
2025-12-26,3390
2025-12-27,3890
2025-12-28,3914
2025-12-29,3385
2025-12-30,3336
2025-12-31,3377
2026-01-01,3342
2026-01-02,3332
2026-01-03,3986
2026-01-04,3896
2026-01-05,3386
2026-01-06,3354
2026-01-07,3411
2026-01-08,3389
2026-01-09,3390
2026-01-10,3917
2026-01-11,3965
2026-01-12,3457
2026-01-13,3424
2026-01-14,3476
2026-01-15,3524
2026-01-16,3440
2026-01-17,3955
2026-01-18,3992
2026-01-19,3473
2026-01-20,3427
2026-01-21,3468
2026-01-22,3429
2026-01-23,3412
2026-01-24,3920
2026-01-25,3952
2026-01-26,3431
2026-01-27,3386
2026-01-28,3429
2026-01-29,3395
2026-01-30,3386
2026-01-31,3903
2026-02-01,4335
2026-02-02,3438
2026-02-03,3406
2026-02-04,3607
2026-02-05,3441
2026-02-06,3444
2026-02-07,3970
2026-02-08,4020
2026-02-09,3516
2026-02-10,3484
2026-02-11,3537
2026-02-12,3508
2026-02-13,3498
2026-02-14,4006
2026-02-15,4434
2026-02-16,3504
2026-02-17,3442
2026-02-18,3460
2026-02-19,3394
2026-02-20,3344
2026-02-21,3810
2026-02-22,3795
2026-02-23,3223
2026-02-24,3119
2026-02-25,3097
2026-02-26,2992
2026-02-27,2907
2026-02-28,3342
2026-03-01,3302
2026-03-02,2784
2026-03-03,2592
2026-03-04,2561
2026-03-05,2455
2026-03-06,2376
2026-03-07,2822
2026-03-08,2801
2026-03-09,2233
2026-03-10,2144
2026-03-11,2149
2026-03-12,2082
2026-03-13,2045
2026-03-14,2536
2026-03-15,2561
2026-03-16,2042
2026-03-17,2000
2026-03-18,2052
2026-03-19,2029
2026-03-20,2034
